"","x"
"103","TCGA.13.0761"
"104","TCGA.25.1312"
"105","TCGA.25.1320"
"106","TCGA.25.1329"
"107","TCGA.04.1361"
"108","TCGA.13.0894"
"109","TCGA.13.1407"
"110","TCGA.25.1313"
"111","TCGA.25.1321"
"112","TCGA.04.1348"
"113","TCGA.04.1362"
"114","TCGA.13.0900"
"115","TCGA.25.1314"
"116","TCGA.25.1322"
"117","TCGA.04.1349"
"118","TCGA.04.1364"
"119","TCGA.13.0901"
"120","TCGA.13.1409"
"121","TCGA.25.1315"
"122","TCGA.25.1323"
"123","TCGA.04.1350"
"124","TCGA.04.1365"
"125","TCGA.13.0905"
"126","TCGA.25.1318"
"127","TCGA.25.1326"
"128","TCGA.04.1357"
"129","TCGA.13.0884"
"130","TCGA.13.1404"
"131","TCGA.24.1413"
"132","TCGA.25.1319"
"133","TCGA.25.1328"
"134","TCGA.04.1360"
"135","TCGA.13.0893"
"136","TCGA.13.1405"
"137","TCGA.25.1316"
"138","TCGA.25.1324"
"139","TCGA.04.1351"
"140","TCGA.04.1367"
"141","TCGA.13.0908"
"142","TCGA.13.1411"
"143","TCGA.25.1317"
"144","TCGA.25.1325"
"145","TCGA.04.1356"
"146","TCGA.04.1371"
"147","TCGA.13.1403"
"148","TCGA.13.1412"
"149","TCGA.13.1408"
"150","TCGA.09.2043"
"151","TCGA.24.2295"
"152","TCGA.25.2396"
"153","TCGA.25.2409"
"154","TCGA.24.2297"
"155","TCGA.25.2397"
"156","TCGA.09.2049"
"157","TCGA.24.2280"
"158","TCGA.29.2425"
"159","TCGA.25.2042"
"160","TCGA.25.2399"
"161","TCGA.29.2427"
"162","TCGA.59.2355"
"163","TCGA.24.2288"
"164","TCGA.25.2400"
"165","TCGA.59.2363"
"166","TCGA.25.2391"
"167","TCGA.25.2401"
"168","TCGA.59.2348"
"169","TCGA.09.2053"
"170","TCGA.23.2084"
"171","TCGA.24.2254"
"172","TCGA.61.2002"
"173","TCGA.61.2087"
"174","TCGA.61.2101"
"175","TCGA.09.2054"
"176","TCGA.24.2019"
"177","TCGA.24.2260"
"178","TCGA.61.2088"
"179","TCGA.61.2009"
"180","TCGA.09.2056"
"181","TCGA.24.2024"
"182","TCGA.24.2261"
"183","TCGA.61.2008"
"184","TCGA.61.2092"
"185","TCGA.61.2104"
"186","TCGA.23.2072"
"187","TCGA.24.2030"
"188","TCGA.61.1734"
"189","TCGA.61.2018"
"190","TCGA.23.2077"
"191","TCGA.24.2033"
"192","TCGA.61.1736"
"193","TCGA.61.2012"
"194","TCGA.61.2095"
"195","TCGA.23.2078"
"196","TCGA.24.2035"
"197","TCGA.61.1995"
"198","TCGA.61.2016"
"199","TCGA.61.2096"
"200","TCGA.61.2000"
"201","TCGA.23.2079"
"202","TCGA.24.2036"
"203","TCGA.61.1998"
"204","TCGA.61.2097"
"205","TCGA.61.2113"
"206","TCGA.23.2081"
"207","TCGA.61.2094"
"208","TCGA.61.2098"
"209","TCGA.61.2109"
"210","TCGA.61.2102"
"211","TCGA.61.2003"
"212","TCGA.61.2111"
"213","TCGA.04.1654"
"214","TCGA.24.2020"
"215","TCGA.25.1878"
"216","TCGA.31.1951"
"217","TCGA.24.2023"
"218","TCGA.30.1853"
"219","TCGA.30.1880"
"220","TCGA.31.1953"
"221","TCGA.61.1724"
"222","TCGA.24.1920"
"223","TCGA.24.2026"
"224","TCGA.30.1859"
"225","TCGA.30.1887"
"226","TCGA.31.1955"
"227","TCGA.61.1728"
"228","TCGA.24.1923"
"229","TCGA.24.2027"
"230","TCGA.30.1860"
"231","TCGA.30.1891"
"232","TCGA.31.1956"
"233","TCGA.61.1743"
"234","TCGA.24.1924"
"235","TCGA.24.2029"
"236","TCGA.30.1861"
"237","TCGA.30.1892"
"238","TCGA.31.1959"
"239","TCGA.61.1917"
"240","TCGA.24.1927"
"241","TCGA.25.1870"
"242","TCGA.30.1862"
"243","TCGA.31.1944"
"244","TCGA.57.1992"
"245","TCGA.61.1918"
"246","TCGA.24.1928"
"247","TCGA.25.1871"
"248","TCGA.30.1866"
"249","TCGA.31.1946"
"250","TCGA.57.1993"
"251","TCGA.61.1919"
"252","TCGA.24.1930"
"253","TCGA.25.1877"
"254","TCGA.31.1950"
"255","TCGA.04.1517"
"256","TCGA.24.1556"
"257","TCGA.36.1571"
"258","TCGA.57.1582"
"259","TCGA.25.1628"
"260","TCGA.25.1634"
"261","TCGA.36.1576"
"262","TCGA.24.1557"
"263","TCGA.09.1659"
"264","TCGA.25.1625"
"265","TCGA.09.1661"
"266","TCGA.09.1662"
"267","TCGA.04.1525"
"268","TCGA.24.1558"
"269","TCGA.36.1575"
"270","TCGA.57.1584"
"271","TCGA.25.1631"
"272","TCGA.09.1665"
"273","TCGA.04.1536"
"274","TCGA.36.1578"
"275","TCGA.25.1627"
"276","TCGA.04.1519"
"277","TCGA.25.1630"
"278","TCGA.24.1560"
"279","TCGA.24.1544"
"280","TCGA.24.1567"
"281","TCGA.36.1577"
"282","TCGA.25.1623"
"283","TCGA.25.1633"
"284","TCGA.09.1667"
"285","TCGA.24.1545"
"286","TCGA.36.1568"
"287","TCGA.57.1583"
"288","TCGA.36.1581"
"289","TCGA.09.1666"
"290","TCGA.25.1632"
"291","TCGA.24.1546"
"292","TCGA.36.1569"
"293","TCGA.36.1580"
"294","TCGA.25.1626"
"295","TCGA.25.1635"
"296","TCGA.09.1669"
"297","TCGA.24.1548"
"298","TCGA.36.1570"
"299","TCGA.57.1585"
"300","TCGA.09.1668"
"301","TCGA.36.1574"
"302","TCGA.23.2643"
"303","TCGA.29.2436"
"304","TCGA.23.2645"
"305","TCGA.42.2582"
"306","TCGA.13.2059"
"307","TCGA.36.2542"
"308","TCGA.23.2649"
"309","TCGA.36.2543"
"310","TCGA.59.2372"
"311","TCGA.13.2065"
"312","TCGA.29.2429"
"313","TCGA.36.2533"
"314","TCGA.29.2431"
"315","TCGA.36.2534"
"316","TCGA.36.2545"
"317","TCGA.61.2612"
"318","TCGA.23.1114"
"319","TCGA.29.1691"
"320","TCGA.29.1701"
"321","TCGA.30.1718"
"322","TCGA.29.1771"
"323","TCGA.57.1586"
"324","TCGA.20.1683"
"325","TCGA.29.1693"
"326","TCGA.29.1702"
"327","TCGA.29.1761"
"328","TCGA.29.1781"
"329","TCGA.04.1655"
"330","TCGA.20.1684"
"331","TCGA.29.1703"
"332","TCGA.29.1762"
"333","TCGA.29.1783"
"334","TCGA.09.1670"
"335","TCGA.20.1685"
"336","TCGA.29.1695"
"337","TCGA.29.1705"
"338","TCGA.29.1763"
"339","TCGA.29.1784"
"340","TCGA.20.1686"
"341","TCGA.29.1696"
"342","TCGA.29.1707"
"343","TCGA.29.1764"
"344","TCGA.29.1785"
"345","TCGA.09.1673"
"346","TCGA.20.1687"
"347","TCGA.29.1697"
"348","TCGA.29.1710"
"349","TCGA.29.1766"
"350","TCGA.23.1809"
"351","TCGA.09.1674"
"352","TCGA.29.1688"
"353","TCGA.29.1698"
"354","TCGA.29.1711"
"355","TCGA.29.1768"
"356","TCGA.24.1847"
"357","TCGA.09.1675"
"358","TCGA.29.1690"
"359","TCGA.29.1699"
"360","TCGA.30.1714"
"361","TCGA.29.1770"
"362","TCGA.04.1638"
"363","TCGA.30.1856"
"364","TCGA.61.1738"
"365","TCGA.29.1778"
"366","TCGA.24.1849"
"367","TCGA.61.1906"
"368","TCGA.04.1646"
"369","TCGA.30.1857"
"370","TCGA.61.1740"
"371","TCGA.23.1029"
"372","TCGA.24.1850"
"373","TCGA.61.1907"
"374","TCGA.04.1648"
"375","TCGA.61.1722"
"376","TCGA.61.1741"
"377","TCGA.23.1111"
"378","TCGA.61.1895"
"379","TCGA.61.1910"
"380","TCGA.04.1649"
"381","TCGA.61.1725"
"382","TCGA.29.1769"
"383","TCGA.24.1842"
"384","TCGA.61.1899"
"385","TCGA.61.1911"
"386","TCGA.04.1651"
"387","TCGA.61.1727"
"388","TCGA.29.1774"
"389","TCGA.24.1843"
"390","TCGA.61.1900"
"391","TCGA.61.1913"
"392","TCGA.04.1652"
"393","TCGA.61.1730"
"394","TCGA.29.1775"
"395","TCGA.24.1844"
"396","TCGA.61.1901"
"397","TCGA.61.1914"
"398","TCGA.61.1733"
"399","TCGA.29.1776"
"400","TCGA.24.1845"
"401","TCGA.61.1903"
"402","TCGA.61.1915"
"403","TCGA.30.1855"
"404","TCGA.61.1737"
"405","TCGA.29.1777"
"406","TCGA.24.1846"
"407","TCGA.61.1904"
"408","TCGA.13.0807"
"409","TCGA.13.0891"
"410","TCGA.13.0912"
"411","TCGA.13.0923"
"412","TCGA.10.0934"
"413","TCGA.13.0883"
"414","TCGA.13.0897"
"415","TCGA.13.0913"
"416","TCGA.13.0924"
"417","TCGA.10.0935"
"418","TCGA.13.0885"
"419","TCGA.13.0899"
"420","TCGA.10.0926"
"421","TCGA.10.0936"
"422","TCGA.13.0886"
"423","TCGA.13.0916"
"424","TCGA.10.0927"
"425","TCGA.10.0937"
"426","TCGA.13.0887"
"427","TCGA.13.0904"
"428","TCGA.13.0919"
"429","TCGA.10.0928"
"430","TCGA.10.0938"
"431","TCGA.13.0888"
"432","TCGA.13.0906"
"433","TCGA.13.0920"
"434","TCGA.10.0930"
"435","TCGA.24.0966"
"436","TCGA.13.0910"
"437","TCGA.13.0921"
"438","TCGA.10.0931"
"439","TCGA.13.0890"
"440","TCGA.13.0911"
"441","TCGA.10.0933"
"442","TCGA.24.0980"
"443","TCGA.13.0903"
"444","TCGA.24.1416"
"445","TCGA.24.1427"
"446","TCGA.24.1464"
"447","TCGA.13.1484"
"448","TCGA.13.1495"
"449","TCGA.13.1505"
"450","TCGA.24.1417"
"451","TCGA.24.1428"
"452","TCGA.24.1466"
"453","TCGA.13.1485"
"454","TCGA.13.1496"
"455","TCGA.13.1506"
"456","TCGA.24.1418"
"457","TCGA.24.1430"
"458","TCGA.24.1467"
"459","TCGA.13.1497"
"460","TCGA.13.1507"
"461","TCGA.24.1419"
"462","TCGA.24.1431"
"463","TCGA.13.1477"
"464","TCGA.13.1488"
"465","TCGA.13.1498"
"466","TCGA.13.1509"
"467","TCGA.24.1422"
"468","TCGA.24.1434"
"469","TCGA.13.1489"
"470","TCGA.13.1499"
"471","TCGA.13.1510"
"472","TCGA.24.1423"
"473","TCGA.24.1435"
"474","TCGA.13.1481"
"475","TCGA.13.1491"
"476","TCGA.13.1500"
"477","TCGA.13.1511"
"478","TCGA.24.1424"
"479","TCGA.24.1436"
"480","TCGA.13.1482"
"481","TCGA.13.1492"
"482","TCGA.13.1501"
"483","TCGA.13.1512"
"484","TCGA.24.1426"
"485","TCGA.24.1463"
"486","TCGA.13.1483"
"487","TCGA.13.1494"
"488","TCGA.13.1504"
"489","TCGA.29.1692"
"490","TCGA.13.1817"
"491","TCGA.61.1916"
